code,description,category,standard,active
A00,Cólera,A,CIE-10 OPS,1
A01,Fiebres tifoidea y paratifoidea,A,CIE-10 OPS,1
A02,Otras infecciones debidas a Salmonella,A,CIE-10 OPS,1
A03,Shigelosis,A,CIE-10 OPS,1
A04,Otras infecciones intestinales bacterianas,A,CIE-10 OPS,1
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas",A,CIE-10 OPS,1
A06,Amebiasis,A,CIE-10 OPS,1
A07,Otras enfermedades intestinales debidas a protozoarios,A,CIE-10 OPS,1
A08,Infecciones intestinales debidas a virus y otros organismos,A,CIE-10 OPS,1
A09,Diarrea y gastroenteritis de presunto origen infeccioso,A,CIE-10 OPS,1
A15,"Tuberculosis respiratoria, confirmada bacteriológica e",A,CIE-10 OPS,1
A16,"Tuberculosis respiratoria, no confirmada bacteriológica o",A,CIE-10 OPS,1
A18,Tuberculosis de otros órganos,A,CIE-10 OPS,1
A19,Tuberculosis miliar,A,CIE-10 OPS,1
A20,Peste,A,CIE-10 OPS,1
A21,Tularemia,A,CIE-10 OPS,1
A22,Carbunco [ántrax],A,CIE-10 OPS,1
A23,Brucelosis,A,CIE-10 OPS,1
A24,Muermo y melioidosis,A,CIE-10 OPS,1
A25,Fiebres por mordedura de rata,A,CIE-10 OPS,1
A26,Erisipeloide,A,CIE-10 OPS,1
A27,Leptospirosis,A,CIE-10 OPS,1
A28,"Otras enfermedades zoonóticas bacterianas, no clasificadas en otra",A,CIE-10 OPS,1
A30,Lepra [enfermedad de Hansen],A,CIE-10 OPS,1
A31,Infecciones debidas a otras micobacterias,A,CIE-10 OPS,1
A32,Listeriosis,A,CIE-10 OPS,1
A33,Tétanos neonatal,A,CIE-10 OPS,1
A34,Tétanos obstétrico,A,CIE-10 OPS,1
A35,Otros tétanos,A,CIE-10 OPS,1
A36,Difteria,A,CIE-10 OPS,1
A37,Tos ferina [tos convulsiva],A,CIE-10 OPS,1
A38,Escarlatina,A,CIE-10 OPS,1
A39,Infección meningocócica,A,CIE-10 OPS,1
A40,Septicemia estreptocócica,A,CIE-10 OPS,1
A41,Otras septicemias,A,CIE-10 OPS,1
A42,Actinomicosis,A,CIE-10 OPS,1
A43,Nocardiosis,A,CIE-10 OPS,1
A44,Bartonelosis,A,CIE-10 OPS,1
A46,Erisipela,A,CIE-10 OPS,1
A48,"Otras enfermedades bacterianas, no clasificadas en otra parte",A,CIE-10 OPS,1
A49,Infección bacteriana de sitio no especificado,A,CIE-10 OPS,1
A50,Sífilis congénita,A,CIE-10 OPS,1
A51,Sífilis precoz,A,CIE-10 OPS,1
A52,Sífilis tardía,A,CIE-10 OPS,1
A53,Otras sífilis y las no especificadas,A,CIE-10 OPS,1
A54,Infección gonocócica,A,CIE-10 OPS,1
A55,Linfogranuloma (venéreo) por clamidias,A,CIE-10 OPS,1
A56,Otras enfermedades de transmisión sexual debidas a clamidias,A,CIE-10 OPS,1
A57,Chancro blando,A,CIE-10 OPS,1
A58,Granuloma inguinal,A,CIE-10 OPS,1
A59,Tricomoniasis,A,CIE-10 OPS,1
A60,Infección anogenital debida a virus del herpes [herpes simple],A,CIE-10 OPS,1
A63,"Otras enfermedades de transmisión predominantemente sexual, no",A,CIE-10 OPS,1
A64,Enfermedad de transmisión sexual no especificada,A,CIE-10 OPS,1
A65,Sífilis no venérea,A,CIE-10 OPS,1
A66,Frambesia,A,CIE-10 OPS,1
A67,Pinta [carate],A,CIE-10 OPS,1
A68,Fiebres recurrentes,A,CIE-10 OPS,1
A69,Otras infecciones causadas por espiroquetas,A,CIE-10 OPS,1
A70,Infección debida a Chlamydia psittaci,A,CIE-10 OPS,1
A71,Tracoma,A,CIE-10 OPS,1
A74,Otras enfermedades causadas por clamidias,A,CIE-10 OPS,1
A75,Tifus,A,CIE-10 OPS,1
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],A,CIE-10 OPS,1
A78,Fiebre Q,A,CIE-10 OPS,1
A79,Otras rickettsiosis,A,CIE-10 OPS,1
A80,Poliomielitis aguda,A,CIE-10 OPS,1
A81,Infecciones del sistema nervioso central por virus atípico,A,CIE-10 OPS,1
A82,Rabia,A,CIE-10 OPS,1
A83,Encefalitis viral transmitida por mosquitos,A,CIE-10 OPS,1
A84,Encefalitis viral transmitida por garrapatas,A,CIE-10 OPS,1
A85,"Otras encefalitis virales, no clasificadas en otra parte",A,CIE-10 OPS,1
A86,"Encefalitis viral, no especificada",A,CIE-10 OPS,1
A87,Meningitis viral,A,CIE-10 OPS,1
A88,"Otras infecciones virales del sistema nervioso central, no",A,CIE-10 OPS,1
A89,"Infección viral del sistema nervioso central, no especificada",A,CIE-10 OPS,1
A90,Fiebre del dengue [dengue clásico],A,CIE-10 OPS,1
A91,Fiebre del dengue hemorrágico,A,CIE-10 OPS,1
A92,Otras fiebres virales transmitidas por mosquitos,A,CIE-10 OPS,1
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas en",A,CIE-10 OPS,1
