id,description,category,standard,active
1.0,MATERIAL GASTABLE,Cirugía,PDSS 10.0,1
2.88.3.2.20,RESONANCIA NUCLEAR MAGNETICA DE COLUMNA TORACICA SIMPLE +,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
3.88.3.1.08,RESONANCIA NUCLEAR MAGNETICA DE PARES CRANEANOS,Hospitalización,PDSS 10.0,1
4.88.3.2.11,RESONANCIA NUCLEAR MAGNETICA DE COLUMNA CERVICAL CON CONTRASTE,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
5.88.1.4.34,ULTRASONOGRAFÍA OBSTETRICA CON PERFIL BIOFISICO +,Hospitalización,PDSS 10.0,1
6.88.3.4.01,RESONANCIA NUCLEAR MAGNETICA DE ABDOMEN +,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
7.88.3.3.04,"RESONANCIA NUCLEAR MAGNETICA DE TORAX PROYECCIONES PA Y LATERAL, CON FLUOROSCOPIA +",Hospitalización,PDSS 10.0,1
8.88.3.4.40,RESONANCIA NUCLEAR MAGNETICA DE PELVIS +,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
10.87.9.1.62,TOMOGRAFIA AXIAL COMPUTADA DE LARINGE,Hospitalización,PDSS 10.0,1
13.40.1.1.02,BIOPSIA DE GANGLIO LINFATICO PROFUNDO +,Hospitalización,PDSS 10.0,1
14.40.1.1.01,BIOPSIA DE GANGLIO LINFATICO SUPERFICIAL,Cirugía,PDSS 10.0,1
18.70.2.4.00,BIOPSIA DE VAGINA SOD,Hospitalización,PDSS 10.0,1
19.61.1.1.02,BIOPSIA DE TUNICA VAGINALIS,Cirugía,PDSS 10.0,1
23.63.0.3.00,BIOPSIA DE CONDUCTO DEFERENTE SOD,Hospitalización,PDSS 10.0,1
24.28.9.1.00,BIOPSIA DE AMIGADALAS Y/O VEGETACIONES ADENOIDES SOD §,Cirugía,PDSS 10.0,1
25.49.2.3.00,BIOPSIA DE ANO SOD,Hospitalización,PDSS 10.0,1
32.11.2.2.00,BIOPSIA DE CORNEA SOD,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
33.77.4.9.10,"BIOPSIA DE VERTEBRA, VIA ABIERTA",Hospitalización,PDSS 10.0,1
35.01.5.4.09,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA SUBOCCIPITAL RETROMASTOIDEA +",Cirugía,PDSS 10.0,1
36.01.7.0.03,"DRENAJE DE COLECCIONES INTRACEREBRALES, POR PUNCION DIRIGIDA",Cirugía,PDSS 10.0,1
37.01.7.4.01,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA +",Cirugía,PDSS 10.0,1
38.02.0.2.02,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO,Cirugía,PDSS 10.0,1
39.03.3.1.00,PUNCION LUMBAR SOD +,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
40.03.5.2.02,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA,Cirugía,PDSS 10.0,1
57.06.2.2.00,HEMITIROIDECTOMIA SOD §,Cirugía,PDSS 10.0,1
58.06.3.1.00,RESECCION DE LESION EN TIROIDES,Cirugía,PDSS 10.0,1
59.06.4.1.00,TIROIDECTOMIA TOTAL SOD +,Cirugía,PDSS 10.0,1
60.06.9.3.00,SUTURA DE GLANDULA TIROIDES SOD,Cirugía,PDSS 10.0,1
63.08.3.3.00,CORRECCION DE PTOSIS PALPEBRAL POR RESECCION EXTERNA DEL ELEVADOR,Cirugía,PDSS 10.0,1
64.08.3.4.00,CORRECCION DE PTOSIS PALPEBRAL POR RESECCION DEL ELEVADOR VIA CONJUNTIVAL,Cirugía,PDSS 10.0,1
65.08.4.1.00,CORRECCION DE ENTROPION POR TECNICA DE SUTURA,Cirugía,PDSS 10.0,1
66.08.4.4.00,CORRECCION DE ECTROPION POR TECNICA DE SUTURA,Cirugía,PDSS 10.0,1
67.08.5.1.00,CANTOTOMIA SOD,Cirugía,PDSS 10.0,1
68.08.5.2.00,CANTORRAFIA SOD,Cirugía,PDSS 10.0,1
69.08.8.2.01,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO [BLEFARORRAFIA SIMPLE],Cirugía,PDSS 10.0,1
70.08.8.2.02,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO [BLEFARO-RRAFIA SIMPLE],Cirugía,PDSS 10.0,1
71.09.4.2.00,SONDEO Y LAVADO DE VIAS LAGRIMALES SOD +,Cirugía,PDSS 10.0,1
73.10.3.1.03,RESECCION DE PTERIGION SIMPLE (NASAL O TEMPORAL) CON SUTURA +,Cirugía,PDSS 10.0,1
74.10.3.1.05,"RESECCION DE PTERIGION REPRODUCIDO (NASAL O TEMPORAL), CON PLASTIA LIBRE O CITOSTÁTICOS +",Cirugía,PDSS 10.0,1
75.11.6.3.00,"QUERATOPLASTIA PENETRANTE, COMBINADA CON CIRUGIA DE CATARATA, ANTIGLAUCOMATOSA O LENTE INTRAOCULAR [CIRUGIA TRIPLE] SOD",Cirugía,PDSS 10.0,1
76.11.7.3.00,IMPLANTE DE PROTESIS CORNEANA (QUERATOPROTESIS) SOD,Cirugía,PDSS 10.0,1
77.12.4.3.01,"ABLACION DE LESION DE CUERPO CILIAR POR CAUTERIZACION, CRIOTERAPIA O FOTOCOAGULACION (LASER) +",Cirugía,PDSS 10.0,1
78.12.4.4.01,RESECCION DE TUMOR DE CUERPO CILIAR,Cirugía,PDSS 10.0,1
79.12.5.1.00,GONIOTOMIA SOD §,Cirugía,PDSS 10.0,1
80.12.5.4.00,TRABECULOTOMIA SOD §,Cirugía,PDSS 10.0,1
81.12.6.4.00,TRABECULECTOMIA PRIMARIA SOD +,Cirugía,PDSS 10.0,1
82.12.6.4.01,TRABECULECTOMIA SECUNDARIA (CON CIRUGIA OCULAR PREVIA) +,Cirugía,PDSS 10.0,1
84.13.1.1.00,EXTRACCION INTRACAPSULAR DE CRISTALINO SOD +,Cirugía,PDSS 10.0,1
85.16.3.1.00,EVISCERACION DEL GLOBO OCULAR CON IMPLANTE SOD,Cirugía,PDSS 10.0,1
86.16.9.1.00,INYECCION RETROBULBAR DE AGENTE TERAPEUTICO SOD,Cirugía,PDSS 10.0,1
89.18.0.2.00,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO SOD,Cirugía,PDSS 10.0,1
90.18.0.3.00,EXTRACCION DE CUERPO EXTRAÑO DE CONDUCTO AUDITIVO EXTERNO CON INCISION,Cirugía,PDSS 10.0,1
91.20.4.1.00,MASTOIDECTOMIA SIMPLE (ÁTICO ANTROMASTOIDECTOMIA) SOD §,Cirugía,PDSS 10.0,1
92.20.4.2.00,MASTOIDECTOMIA RADICAL SOD +,Cirugía,PDSS 10.0,1
93.20.7.5.00,LABERINTECTOMIA Y VESTIBULOTOMIA SOD +,Cirugía,PDSS 10.0,1
94.20.7.5.01,"LABERINTECTOMIA Y VESTIBULOTOMIA, VIA TRANSMASTOIDEA +",Cirugía,PDSS 10.0,1
95.21.0.1.00,CONTROL DE EPISTAXIS POR TAPONAMIENTO NASAL ANTERIOR O CAUTERIZACION DE MUCOSA NASAL,Cirugía,PDSS 10.0,1
96.21.0.2.00,CONTROL DE EPISTAXIS POR TAPONAMIENTO NASAL POSTERIOR Y ANTERIOR SOD,Cirugía,PDSS 10.0,1
97.21.1.2.01,EXTRACCION DE CUERPO EXTRAÑO DE NARIZ POR RINOTOMIA LATERAL,Cirugía,PDSS 10.0,1
98.21.3.0.01,RESECCION DE QUISTE DERMÓIDE,Cirugía,PDSS 10.0,1
101.21.8.8.02,SEPTOPLASTIA CON CIERRE DE PERFORACION SEPTAL +,Cirugía,PDSS 10.0,1
102.23.0.1.01,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR +,Servicios Odontológicos,PDSS 10.0,1
103.23.0.1.02,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR +,Servicios Odontológicos,PDSS 10.0,1
104.23.0.2.01,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR +,Servicios Odontológicos,PDSS 10.0,1
105.23.0.2.02,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR +,Servicios Odontológicos,PDSS 10.0,1
107.24.0.2.00,DETARTRAJE SUBGINGIVAL SOD +,Servicios Odontológicos,PDSS 10.0,1
108.24.2.2.01,CURETAJE A CAMPO ABIERTO +,Servicios Odontológicos,PDSS 10.0,1
109.27.4.9.01,REMOCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE LA BOCA,Servicios Odontológicos,PDSS 10.0,1
110.27.5.3.04,"CIERRE DE FISTULA OROSINUSAL CON SINUSOTOMIA, CON O SIN REMOCION DE CUERPO EXTRAÑO O COLGAJO PALATINO, LINGUAL O BUCAL",Cirugía,PDSS 10.0,1
111.28.2.1.00,AMIGDALECTOMIA SOD,Cirugía,PDSS 10.0,1
112.28.3.1.00,ADENOAMIGDALECTOMIA SOD,Cirugía,PDSS 10.0,1
113.28.6.1.00,ADENOIDECTOMIA SOD,Cirugía,PDSS 10.0,1
114.29.0.1.00,DRENAJE DE BOLSA FARINGEA SOD,Cirugía,PDSS 10.0,1
115.29.0.3.01,"EXTRACCION DE CUERPO EXTRAÑO ENCLAVADO EN FARINGE, VIA EXTERNA +",Cirugía,PDSS 10.0,1
116.30.3.2.00,LARINGECTOMIA TOTAL (DISECCION EN BLOQUE DE LARINGE) SOD,Cirugía,PDSS 10.0,1
117.31.3.1.01,EXTRACCION DE CUERPO EXTRAÑO DE TRAQUEA VIA ABIERTA +,Cirugía,PDSS 10.0,1
118.33.9.4.00,EXTRACCION ENDOSCOPICA (RIGIDA O DE FIBRA OPTICA) DE CUERPO EXTRAÑO DE BRONQUIO O PULMON SOD,Cirugía,PDSS 10.0,1
119.31.6.1.00,SUTURA DE LACERACION DE LARINGE SOD,Cirugía,PDSS 10.0,1
120.31.9.1.00,DILATACION DE LA LARINGE SOD,Cirugía,PDSS 10.0,1
121.32.3.1.00,LOBECTOMIA SEGMENTARIA (LOBECTOMIA PARCIAL O RESECCION EN CUÑA) SOD,Cirugía,PDSS 10.0,1
122.33.0.1.01,"EXTRACCION DE CUERPO EXTRAÑO EN BRONQUIO O PULMON, VIA ABIERTA",Cirugía,PDSS 10.0,1
123.34.0.1.01,TORACENTESIS DE DRENAJE O DESCOMPRESIVA,Cirugía,PDSS 10.0,1
124.35.2.2.00,REEMPLAZO DE VALVULA MITRAL CON PROTESIS O BIOPROTESIS (AUTOLOGA O HETEROLOGA) SOD,Cirugía,PDSS 10.0,1
126.38.0.1.01,TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA,Cirugía,PDSS 10.0,1
127.38.0.1.02,TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR,Cirugía,PDSS 10.0,1
128.58.9.1.20,INCISION Y DRENAJE DE COLECCIONES PERIURETRALES O URINOSOS +,Cirugía,PDSS 10.0,1
129.38.0.1.04,TROMBOEMBOLECTOMIA DE OFTALMICA,Cirugía,PDSS 10.0,1
130.38.0.1.10,"TROMBOLISIS DE VASOS INTRACRANEALES, VIA ENDOVASCULAR",Cirugía,PDSS 10.0,1
131.38.0.2.01,TROMBOEMBOLECTOMIA ARTERIAL DE ZONA I Y III DE CUELLO,Cirugía,PDSS 10.0,1
132.38.0.2.02,TROMBOEMBOLECTOMIA ARTERAL DE ZONA II DE CUELLO,Cirugía,PDSS 10.0,1
133.38.0.2.03,TROMBOEMBOLECTOMIA VENOSA DE ZONA I Y III DE CUELLO,Cirugía,PDSS 10.0,1
134.38.0.2.04,TROMBOEMBOLECTOMIA VENOSA DE ZONA II DE CUELLO,Cirugía,PDSS 10.0,1
135.38.0.3.02,TROMBOEMBOLECTOMIA ARTERIAL AXILAR,Cirugía,PDSS 10.0,1
136.38.0.3.03,TROMBOEMBOLECTOMIA ARTERIAL DE BRAZO O ANTEBRAZO,Cirugía,PDSS 10.0,1
137.38.0.3.05,TROMBOEMBOLECTOMIA VENOSA AXILAR,Cirugía,PDSS 10.0,1
138.38.0.3.06,TROMBOEMBOLECTOMIA VENOSA DE BRAZO O ANTEBRAZO,Cirugía,PDSS 10.0,1
139.38.0.5.00,TROMBOEMBOLECTOMIA EN VASOS ESPINALES SOD +,Cirugía,PDSS 10.0,1
140.38.0.6.01,TROMBOEMBOLECTOMIA DE ARTERIAS ABDOMINALES VIA ABIERTA +,Cirugía,PDSS 10.0,1
141.38.0.7.01,TROMBOEMBOLECTOMIA DE VENAS ABDOMINALES VIA ABIERTA,Cirugía,PDSS 10.0,1
142.38.0.8.01,TROMBOEMBOLECTOMIA SUPRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES,Cirugía,PDSS 10.0,1
143.38.0.8.02,TROMBOEMBOLECTOMIA INFRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES,Cirugía,PDSS 10.0,1
144.38.0.9.01,TROMBOEMBOLECTOMIA SUPRAPATELAR VENOSA PROFUNDA,Cirugía,PDSS 10.0,1
145.38.0.9.02,TROMBOEMBOLECTOMIA INFRAPATELAR VENOSA PROFUNDA,Cirugía,PDSS 10.0,1
